group,n_obs,n_uniq,y_mean,res_sd,beta1,beta2,curvature,peak_n,concave
1_1,2199,2194,158.0946748381741,32.558198040091185,0.05314616267082184,4.00197931692204e-5,4.00197931692204e-5,NA,FALSE
1_2,3841,3840,169.86957625666898,53.21260616615944,0.5436664809206782,-0.0016075676858930828,-0.0016075676858930828,169.09598447751975,TRUE
1_3,4322,4321,202.16389417755948,37.797049723818894,0.35998385431375296,-0.0022041188525870033,-0.0022041188525870033,81.6616249825265,TRUE
10_1,1247,1247,163.45256134277264,61.74704210905313,0.7232267004809766,-0.0027436282190156152,-0.0027436282190156152,131.80114846982852,TRUE
11_1,15,15,237.1624864653587,25.94826998656581,-1.640144600768258,0.028994366287985046,0.028994366287985046,NA,FALSE
12_1,2925,2238,49.70287895845938,13.938186661822574,0.2852009491406586,-0.0014065901950692677,-0.0014065901950692677,101.38025636052932,TRUE
13_1,3921,3921,240.97721911573421,19.129284037111283,0.7118041692257174,-0.0010929756833826466,-0.0010929756833826466,325.6267179809331,TRUE
13_2,3864,3864,240.9118111224494,19.010361567793144,1.3307806356799574,-0.002489447045760861,-0.002489447045760861,267.28438308138925,TRUE
14_1,1861,1861,188.28533479824998,24.552218644476458,1.5494979424532052,-0.004594140196177419,-0.004594140196177419,168.6385130064679,TRUE
16_1,1811,1811,230.3290903701208,14.697256074471543,-1.1138729766825586,0.004889995727200963,0.004889995727200963,NA,FALSE
16_2,583,583,211.14561276809366,13.41442995841667,0.8950616566330877,-0.001678470977003452,-0.001678470977003452,266.630066559455,TRUE
17_1,1571,1571,267.0577130855761,15.974951918039263,-0.06252354119594501,3.3118980353772254e-4,3.3118980353772254e-4,NA,FALSE
18_1,3028,3028,237.31444315165285,20.635131163579477,0.07588472558122215,0.00039727821926376197,0.00039727821926376197,NA,FALSE
19_1,1549,1248,252.49551376292362,6.129810251143388,0.07907371343716728,-1.8088097726358575e-4,-1.8088097726358575e-4,218.57940683817304,TRUE
19_2,1268,1268,250.01648296370973,9.418517516026572,0.5796012779288338,-0.0014326422559594292,-0.0014326422559594292,202.28402293658417,TRUE
19_3,1835,1835,242.5254551347165,8.756624919594712,0.48639300495860893,-0.0013408928698673238,-0.0013408928698673238,181.36907723535575,TRUE
19_4,7173,7173,221.90967304686706,17.399632764593523,3.7849710471111315,-0.009567864269575567,-0.009567864269575567,197.79602534427642,TRUE
2_1,2796,2796,234.51865797294258,36.21293446221196,2.745243857169621,-0.006241358986613391,-0.006241358986613391,219.92356657081277,TRUE
20_1,1279,1279,183.41529082428738,22.44485586405276,0.6587905744847132,-0.0013573512470297043,-0.0013573512470297043,242.67505405338028,TRUE
20_2,506,506,245.66778779926028,28.807119398988807,0.7017040761865728,-0.001528773812885489,-0.001528773812885489,229.49898483090158,TRUE
20_3,1140,1140,167.18086168208174,49.748487272176796,-5.942848754310109,0.01581843635079147,0.01581843635079147,NA,FALSE
20_4,596,596,232.81964985779715,12.56836668293791,0.33988764970866797,-6.629994601004114e-4,-6.629994601004114e-4,256.32573641703414,TRUE
20_5,800,800,228.93667686868702,19.47158951687909,1.1369623935325988,-0.003189710505717353,-0.003189710505717353,178.2234455908563,TRUE
21_1,2482,2482,215.09138343386078,57.56280550586787,-4.52462141112237,0.07032656307331024,0.07032656307331024,NA,FALSE
22_1,2614,2614,237.59088841235308,19.51406955465686,5.022337001097875,-0.010178721378169895,-0.010178721378169895,246.7076568118459,TRUE
23_1,498,498,199.35345593774935,13.158152004076213,0.08054627792712862,7.398832554276558e-5,7.398832554276558e-5,NA,FALSE
23_2,3337,2768,237.5479857204907,14.403487802720422,0.09718730795302773,-4.15713284718503e-5,-4.15713284718503e-5,1168.922326103162,TRUE
23_3,3271,3271,210.7706385602083,26.988610791266417,1.19507288659453,-0.0034502124138656334,-0.0034502124138656334,173.1883059999145,TRUE
24_1,2030,2030,205.92861790666484,10.331091852775584,0.7703470903605589,-0.0019382181624839584,-0.0019382181624839584,198.72558860280898,TRUE
25_1,2003,2003,185.51171049617346,13.08936215026427,-5.0795217162374415,0.013456063892677568,0.013456063892677568,NA,FALSE
25_2,1615,1615,240.14049623636086,28.81631301485407,0.9657121356422755,-0.0020229430555634077,-0.0020229430555634077,238.68989613583466,TRUE
26_1,630,630,226.45277053126958,12.688409566836976,0.8768815625899719,-0.0018974339204816993,-0.0018974339204816993,231.07038224745105,TRUE
28_1,4161,4161,225.99829315822996,48.84750034845547,3.227677279113083,-0.010247079668257686,-0.010247079668257686,157.49254341758652,TRUE
28_2,5843,5843,257.02028598209006,25.930704005491265,1.4751146389827667,-0.0036419292480077943,-0.0036419292480077943,202.5182998529808,TRUE
28_3,3512,3512,241.06460351665086,23.788553926505458,-1.036384899829327,0.0033204872211698606,0.0033204872211698606,NA,FALSE
28_4,1701,1480,257.3595956833552,18.22661968834886,0.37386699872262175,-8.278228533839122e-4,-8.278228533839122e-4,225.81340753903825,TRUE
28_5,15834,15834,238.35641721582266,24.358032258515504,-0.5664496484709007,0.001832050853712853,0.001832050853712853,NA,FALSE
29_1,3921,3921,240.97721911573421,19.129284037111283,0.7118041692257174,-0.0010929756833826466,-0.0010929756833826466,325.6267179809331,TRUE
3_1,2778,2091,149.1047217714221,44.43466689149219,-0.640520951428319,0.0017417743024307462,0.0017417743024307462,NA,FALSE
3_2,3314,2889,166.49172543646037,46.51793488112768,8.293993460605655,-0.022787120840082324,-0.022787120840082324,181.98862240675447,TRUE
3_3,5845,4122,151.21823045450967,29.291240615156394,0.5542556787702793,1.9825782353318514e-4,1.9825782353318514e-4,NA,FALSE
30_1,1262,1262,227.88176446982388,12.766933445390828,0.5111912404504604,-8.745017386938987e-4,-8.745017386938987e-4,292.2757141763627,TRUE
30_2,1384,1270,227.80601079849737,12.852522763220518,0.49262908233092073,-8.601614185383477e-4,-8.601614185383477e-4,286.35850882967634,TRUE
31_1,1335,1335,229.42918393810334,11.391464731795432,-0.3401895026207559,0.001498964475924608,0.001498964475924608,NA,FALSE
32_1,1109,1109,251.58911506082333,14.135899153138844,25.76091004979177,-0.07657475357830502,-0.07657475357830502,168.20759353439362,TRUE
32_2,986,986,252.52881284973773,11.787141168334982,-8.259506779386378,0.023711905665728627,0.023711905665728627,NA,FALSE
32_3,817,817,254.46180618557253,11.849752594187946,1.9885726539248343,-0.004330549581914664,-0.004330549581914664,229.59818567019238,TRUE
32_4,8361,8064,219.89046629503846,20.83651435194996,1.6076082623544077,-0.005618574533683315,-0.005618574533683315,143.06193258777716,TRUE
32_5,2751,2751,238.12800120360617,36.42981247878676,-18.051645646176734,0.043597116004867605,0.043597116004867605,NA,FALSE
33_1,1675,1675,125.19338447071294,12.04411367834984,0.02582355269413598,-1.0552867851844574e-4,-1.0552867851844574e-4,122.35324585071056,TRUE
33_2,1294,1270,4.461735098694495,1.8338787180640457,0.02003041319216944,-9.748013313118135e-5,-9.748013313118135e-5,102.74100244207726,TRUE
33_3,2227,2139,152.44345321516812,20.97263126662978,0.1840177545272239,3.196558920586398e-4,3.196558920586398e-4,NA,FALSE
34_1,945,945,213.33156498167034,76.39169191104172,15.752071660341471,-0.03531175644217304,-0.03531175644217304,223.0428793047615,TRUE
34_2,3127,1965,243.81149989188089,22.47596010505556,-2.8663206710760756,0.008638545919914666,0.008638545919914666,NA,FALSE
34_3,6729,579,247.669844627666,17.56443065285114,49.17969168618102,-0.12397236089729932,-0.12397236089729932,198.3494197021958,TRUE
34_4,1243,657,204.60427816834857,32.726155338146214,-0.9541420373637542,0.0022894965010850886,0.0022894965010850886,NA,FALSE
35_1,744,744,185.12255450814163,17.35204089416963,0.10291852028237433,-1.0268300947732945e-4,-1.0268300947732945e-4,501.14678565735295,TRUE
35_2,631,631,176.67301745159568,20.947452097058335,0.5965385900463238,-0.0016897656309296197,-0.0016897656309296197,176.51518622678455,TRUE
36_1,1859,1859,238.97121191139374,9.897466702615137,-0.0672170267097924,3.8928663027356356e-4,3.8928663027356356e-4,NA,FALSE
36_2,967,967,265.7569553131113,11.868245025263372,-0.015593649871763596,2.1741904822460833e-4,2.1741904822460833e-4,NA,FALSE
36_3,12395,4897,233.07412070960126,56.092259207750544,-3.721257449358086,0.010612418510098903,0.010612418510098903,NA,FALSE
36_4,8652,6111,235.43884210978624,17.78297397420596,-0.3478016656736197,5.139973949095583e-4,5.139973949095583e-4,NA,FALSE
37_1,795,795,116.12616737787117,18.15607769795977,0.41284530385600887,-0.005243111794323546,-0.005243111794323546,39.37025568508531,TRUE
38_1,288,288,34.47014337650647,19.786877632259102,-0.23913613311629048,2.500586945359427e-4,2.500586945359427e-4,NA,FALSE
39_1,1861,1861,188.28533479824998,24.552218644476458,1.5494979424532052,-0.004594140196177419,-0.004594140196177419,168.6385130064679,TRUE
4_1,1945,1945,160.69828704115645,18.867424343391875,0.10047404386038192,2.8103876627131355e-4,2.8103876627131355e-4,NA,FALSE
40_1,3398,3290,224.22451310895306,24.91651084255549,1.1988467713276205,-0.0020982154246779374,-0.0020982154246779374,285.6824797939029,TRUE
40_2,1458,1041,237.1381692503671,22.443860746688454,6.764935130886091,-0.018775978831031,-0.018775978831031,180.14866739479126,TRUE
41_1,42,42,145.63342791642395,20.576127810175695,0.9495485634722164,-0.0016324292199544148,-0.0016324292199544148,290.83912241497745,TRUE
41_2,567,567,194.63718130145864,30.921876888989807,1.0834679874885684,-0.0020755943035397524,-0.0020755943035397524,261.0018695948443,TRUE
5_1,4707,4707,177.73965019159783,26.116477648715367,0.49995994500836816,-0.0013909937057386135,-0.0013909937057386135,179.71323052928227,TRUE
6_1,847,847,149.80994610465092,20.014692782154363,1.5576893480803586,-0.0035408527269974992,-0.0035408527269974992,219.95963517539695,TRUE
7_1,1641,1641,274.94096154676623,10.616029292864656,0.14178702151329461,-2.76076554447305e-4,-2.76076554447305e-4,256.7893202614524,TRUE
8_1,1684,1684,228.52229168881846,9.757302352333532,0.5842617790570789,-0.002053780252619889,-0.002053780252619889,142.2405776644726,TRUE
